charge_code,severity,class,short_desc,mshp_code,ncic_code,statute,long_desc,osca_type,sevclass_value,ncic_category,legacy,OLD_category,OLD_ncic,dv
54032,F,D,CONFLICT OF INTEREST,FELPUB,73,105478,CONFLICT OF INTEREST,,4,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
19705,M,B,ETHIC VIO ELECT OFFICIAL,MISFRD,26,105478,ETHICS VIOLATION BY ELECTED OFFICIAL OR LOBBYIST 1ST OFFENSE,,8,FRAUD,TRUE,Fraud,26,
19700,F,D,ETHICS VIOLATION 2ND OFF,FELFRD,26,105478,"""ETHICS VIOLATION BY ELECTED OFFICIAL OR LOBBYIST, 2ND OFFENSE""",,4,FRAUD,TRUE,Fraud,26,
35075,M,B,MISREPRESENT FINE STATMT,MISELC,59,105492,MISREPRESENTATION OR OMISSION OF FACTS IN FINANCIAL INTEREST STATEMENT,M,8,ELECTION LAWS,TRUE,Election Fraud,59,
19706,M,A,FILE FLS COMPT ETHIC LAW,MISFRD,26,105961,"KNOWINGLY, WITH MALICE, FILE A FALSE COMPLAINT AGAINST AN INDIVIDUAL IN REFERENCE TO THE ETHICS LAW",M,7,FRAUD,TRUE,Fraud,26,
19707,M,A,VIO ETHICS CONFIDENCE,MISFRD,26,105961,KNOWINGLY VIOLATE CONFIDENTIALITY OF AN ETHICS COMPLAINT AGAINST AN INDIVIDUAL,M,7,FRAUD,TRUE,Fraud,26,
54052,M,A,COMPLAINT W/O CAUSE OR W/MALICE,MISPUB,73,105961,KNOWINGLY FILE A COMPLAINT PURSUANT TO CHAPTER 105 WITHOUT JUST CAUSE OR WITH MALICE,M,7,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
54053,M,A,VIOL CONFIDNTLTY SEC 105.955(17),MISPUB,73,105961,VIOLATE CONFIDENTIALITY REQUIREMENTS OF THIS SECTION OR SECTION 105.955(17),M,7,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
54020,M,U,DESTROYING STATE RECORDS,MISPUB,73,109270,DESTRUCTION OF STATE RECORDS,M,11,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
54024,M,U,CLK DISCLOS AMT BID BEFR SELECT,MISPUB,73,110140,CLERK OF COUNTY COMMISSION DISCLOSES AMOUNT OF BID BEFORE SELECTION OF DEPOSITARIES,M,11,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
54111,M,B,COMM USE VOTE REG DATA,MISPUB,73,115158,COMMERCIAL USE OF CENTRALIZED VOTER REGISTRATION DATABASE,M,8,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
35088,M,U,CLASS IV-VOTER REG/REG APPS,MISELC,59,115203,CLASS FOUR ELECTION OFFENSE OF VOTER REGISTRATION AND SUBMISSION OF VOTER REGISTRATION APPLICATIONS,M,11,ELECTION LAWS,TRUE,Election Fraud,59,
35085,M,U,CLASS III-SOLICITOR FAIL TO REG,MISELC,59,115205,CLASS THREE ELECTION OFFENSE - VOTER REGISTRATION SOLICIT OR KNOWINGLY FAIL TO REGISTER WITH SECRETARY OF STATE,M,11,ELECTION LAWS,TRUE,Election Fraud,59,
35081,F,U,CLS 1 ELECTION OFNS-FALSE STMT,FELELC,59,115405,CLASS ONE ELECTION OFFENSE - MAKE FALSE SWORN STATEMENT/AFFIDAVIT/STATEMENT OF CANDIDACY OR SIGN SUCH DOCUMENTS KNOWING STATEMENT IS UNTRUE,F,6,ELECTION LAWS,TRUE,Election Fraud,59,
35030,F,U,FRD ELECTION JDGS-CLKS,FELELC,59,115629,FRAUD BY ELECTION JUDGES OR CLERKS,,6,ELECTION LAWS,TRUE,Election Fraud,59,
35079,F,C,FALSE DOCUMENTATION-VOTER REGIS,FELELC,59,115631,CLASS ONE ELECTION OFFENSE - WILLFULLY PROVIDE FALSE DOCUMENTATION REQUIRED FOR VOTER REGISTRATION UNDER SECTION 115.155,F,3,ELECTION LAWS,TRUE,Election Fraud,59,
35080,F,U,COMMIT CLASS ONE ELECTION OFFNS,FELELC,59,115631,COMMITTED CLASS ONE ELECTION OFFENSE,F,6,ELECTION LAWS,TRUE,Election Fraud,59,
35082,F,U,VIO CLASS 2 ELECTION LAW,FELELC,59,115633,COMMITTING CLASS TWO ELECTION OFFENSES,F,6,ELECTION LAWS,TRUE,Election Fraud,59,
35084,M,U,VIO CLASS 3 ELECTION LAW,MISELC,59,115635,COMMITTING CLASS THREE ELECTION OFFENSES,M,11,ELECTION LAWS,TRUE,Election Fraud,59,
35086,M,U,VIO CLASS 4 ELECTION LAW,MISELC,59,115637,COMMITTING CLASS FOUR ELECTION OFFENSES,M,11,ELECTION LAWS,TRUE,Election Fraud,59,
35060,M,U,INTIMIDATING VOTERS,MISELC,59,115637,INTIMIDATING VOTERS,,11,ELECTION LAWS,TRUE,Election Fraud,59,
35050,F,U,FRAUDULENT VOTING,FELELC,59,115637,FRAUDULENT VOTING,,6,ELECTION LAWS,TRUE,Election Fraud,59,
35040,M,U,FRD ELECTION JDGE-CLKS,MISELC,59,115637,FRAUD BY ELECTION JUDGES OR CLERKS,,11,ELECTION LAWS,TRUE,Election Fraud,59,
35020,M,U,ELECTNRG 25 FT PLG PLACE,MISELC,59,115637,ELECTIONEERING WITHIN 25 FEET OF POLLING PLACE,,11,ELECTION LAWS,TRUE,Election Fraud,59,
35046,M,A,BRIBE IN EXCHANG-SIGN PETITION,MISELC,59,116060,KNOWINGLY ACCEPT/OFFER BRIBE IN EXCHANGE FOR SIGNATURE ON A PETITION,,7,ELECTION LAWS,TRUE,Election Fraud,59,
35044,M,A,SWEAR AFFID KNOW IS FALSE,MISELC,59,116080,FALSELY SWEARING TO A CIRCULATORS AFFIDAVIT KNOWING IT TO BE FALSE,M,7,ELECTION LAWS,TRUE,Election Fraud,59,
35091,M,A,PETITION SIGNATURE FRAUD,MISELC,59,116090,PETITION SIGNATURE FRAUD,M,7,ELECTION LAWS,TRUE,Election Fraud,59,
35092,M,A,FAIL TO REPORT PETITION SIGNATURE FRAUD,MISELC,59,116090,FAIL TO REPORT PETITION SIGNATURE FRAUD,M,7,ELECTION LAWS,TRUE,Election Fraud,59,
51060,M,A,ACCEPT/OFFER BRIBE-EXCH FOR SIGNATURE,MISBRI,51,116090,KNOWINGLY ACCEPT/OFFER BRIBE IN EXCHANGE FOR SIGNATURE ON INITIATIVE/REFERENDUM PETITION,M,7,BRIBERY,TRUE,Bribery,51,
35090,M,A,ILLEGALLY SIGN PETITION,MISELC,59,116090,ILLEGALLY SIGN PETITION,M,7,ELECTION LAWS,TRUE,Election Fraud,59,
35032,M,A,FILE FALS WITHDRAWAL STMT,MISELC,59,116100,KNOWINGLY FILE A FALSE WITHDRAWAL STATEMENT,M,7,ELECTION LAWS,TRUE,Election Fraud,59,
35010,F,U,DEFRAUDING VOTER,FELELC,59,118740,DEFRAUDING VOTER,,6,ELECTION LAWS,TRUE,Election Fraud,59,
35072,F,D,VIOL-RE DISCRIM/INTIMID-ELECTIONS,FELELC,59,130028,VIOLATE SECTION 130.028.1 REGARDING DISCRIMINATION/INTIMIDATION IN ELECTIONS,F,4,ELECTION LAWS,TRUE,Election Fraud,59,
35073,M,A,POLITICAL CONTRIBUTION W/O CONSENT,MISELC,59,130028,"EMPLOYER/COMMITTEE/LABOR ORGANIZATION RECEIVE/CAUSE POLITICAL CONTRIBUTIONS FROM MEMBERS OR EMPLOYEES, EXCEPT BY CONSENT",M,7,ELECTION LAWS,TRUE,Election Fraud,59,
35074,M,A,MISDIRECT PAYRL DEDUCT-POLIT COMM,MISELC,59,130028,"DIRECT PAYROLL DEDUCTION TO A CONTINUING POLITICAL COMMITTEE, OTHER THAN THE COMMITTEE CHOSEN BY THE EMPLOYEE",M,7,ELECTION LAWS,TRUE,Election Fraud,59,
35078,M,A,CAMPN CONTRIB INV EMP,MISELC,59,130028,ACCEPTING CAMPAIGN CONTIBUTIONS INVOLUNTARILY FROM EMPLOYEES OR MEMBERS,,7,ELECTION LAWS,TRUE,Election Fraud,59,
35061,F,D,CONCEAL SOURCE-VALUE-3RD/SUBSQ OFF,FELELC,59,130031,TRANSFER SOMETHING OF VALUE TO POLITICAL ACTION COMMITTEE WHILE CONCEALING IDENTITY OF SOURCE -3RD OR SUBSEQUENT OFFENSE,F,4,ELECTION LAWS,TRUE,Election Fraud,59,
35063,M,C,CONCEAL SOURCE-VALUE-2ND OFFENSE,MISELC,59,130031,TRANSFER SOMETHING OF VALUE TO POLITICAL ACTION COMMITTEE WHILE CONCEALING IDENTITY OF SOURCE - 2ND OFFENSE,M,9,ELECTION LAWS,TRUE,Election Fraud,59,
35065,M,A,NO TREASURER INFO-PRINT MATTER,MISELC,59,130031,PURPOSELY FAILING TO PRINT NAME AND TITLE OF COMMITTEE TREASURER ON PRINTED MATTER RELATIVE TO A CANDIDATE,M,7,ELECTION LAWS,TRUE,Election Fraud,59,
35067,M,A,VIOL CAMPAIGN FINANCE DISCLOS LAW,MISELC,59,130081,VIOLATE PROVISIONS OF CAMPAIGN FINANCE DISCLOSURE LAW (CHAPTER 130),M,7,ELECTION LAWS,TRUE,Election Fraud,59,
35070,M,A,FAIL/FILE FINANCE REPORT,MISELC,59,130081,FAILURE TO FILE CAMPAIGN FINANCE DISCLOSURE REPORT PURPOSELY,M,7,ELECTION LAWS,TRUE,Election Fraud,59,
35071,I,,FAIL TO FILE FINAN DSCLOS REPORT,MISELC,59,130081,FAILURE TO FILE CAMPAIGN FINANCE DISCLOSURE REPORT,IN,12,ELECTION LAWS,TRUE,Election Fraud,59,
36040,M,U,FAIL SECURE BLDG PERMIT,MISHLT,55,137177,FAILURE TO SECURE A BUILDING PERMIT,M,11,HEALTH AND SAFETY,TRUE,Health Violation,55,
37170,M,U,TAX ASSMNT BOOK ABSTR VIOLATION,MISTAX,61,137375,FAILURE TO MAKE AND FORWARD ASSESSMENT BOOK ABSTRACT TO STATE TAX COMMISSION AS REQUIRED,M,11,TAX REVENUE,TRUE,Taxation,61,
19701,M,A,FALSE STMT W ASSESSOR TO DEFRAUD,MISFRD,26,137420,FALSE CERTIFICATION TO STATEMENT FILED WITH COUNTY ASSESSOR WITH INTENT TO DEFRAUD,M,7,FRAUD,TRUE,Fraud,26,
37103,F,U,LAND TRUST MANGMT VIOL,FELTAX,61,141810,LAND TRUST EMPLOYEE/TRUSTEE RECEIVING COMPENSATION/PROFIT FROM LANDS HELD BY SUCH LAND TRUSTS (1ST CLASS COUNTY),F,6,TAX REVENUE,TRUE,Taxation,61,
46012,M,U,NO SPC FUEL LIC ON VEH,REGOWN,54,142270,NO SPECIAL USER FUEL LICENSE CARRIED ON REAR OF VEHICLE,,11,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46009,M,U,NO MO TRANS LIC MTR FUEL,REGOWN,54,142270,NO MISSOURI TRANSPORTATION LICENSE - MOTOR FUEL,,11,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46002,M,U,FAILED TO REC SALE OF LP GAS IN VE,REGOWN,54,142366,SELLER FAILED TO PROPERLY REC SALE OF LP GAS PUT IN VEHICLE DISPLAYING LP DECAL,,11,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46001,M,U,PUT LP GAS INTO MTR VEH W/O DECAL,REGOWN,54,142366,"""CAUSED TO BE PUT, PUT LP GAS INTO MTR VEH W/O LP GAS DECAL WHEN DECAL REQUIRED""",,11,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46000,M,U,NO LP GAS DECAL,REGOWN,54,142366,OPERATED VEH REQUIRED TO HAVE LP GAS OR ELECTRIC MTR VEH DECAL W/O DECAL,,11,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46015,M,U,NO SPECIAL FUEL USER LIC,REGOWN,54,142374,NO SPECIAL FUEL USER TAX LICENSE,,11,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46014,F,U,NO FUEL USER TAX LIC DEF,OTHFEL,54,142374,NO SPEC FUEL USER TAX LICENSE WITH INTENT TO DEFRAUD,,6,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46004,F,U,OP CMV W/O LIC TO DEFRAUD,OTHFEL,54,142422,OP CMV W/O SP FUEL LICENSE OR PERMIT BY DOR W INT TO DEFRAUD,,6,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46003,M,U,SPEC FUEL LIC COMM MTR V,OTHCVE,54,142422,OPERATED COMM MTR VEH PROPELLED BY SPECIAL FUEL INTERSTATE W/O SPECIAL LICENSE,,11,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46006,M,U,NO FUEL LICENSE,OTHCVE,54,142432,FAILED TO OBTAIN/DISPLAY FUEL LIC/FUEL PERMIT TO OPERATE A COMMERC MTR VEH INTRA,,11,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46005,F,U,NO DSPY OF LIC TO DEFRAUD,OTHFEL,54,142432,NO DISPLAY OF LIC/FUEL PERMIT OP ACMV INTERSTATE TO DEFRAUD,,6,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46010,M,A,OP I-S MTR FUEL USR W/O LIC,REGOWN,54,142830,OPERATE AS AN INTER-STATE MOTOR FUEL USER WITHOUT BEING LICENSED AS SUCH,T,7,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
37119,I,N,VIOL PROV-ALTERNATIVE FUEL DECAL,MISTAX,61,142869,VIOLATE PROVISIONS OF SECTION 142.869 REGARDING ALTERNATIVE FUEL DECAL,IN,12,TAX REVENUE,TRUE,Taxation,61,
46008,I,,MV WITH NO ALT FUEL DECAL,REGOWN,54,142869,OPERATE MOTOR VEHICLE REQUIRED TO HAVE ALTERNATIVE FUEL DECAL UPON HIGHWAY WITHOUT VALID DECAL,IN,12,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46016,I,,ALTERNATIVE FUEL PUT IN MV WITH NO DECAL ATTACHED OR TAXES PAID,REGOWN,54,142869,PUT/CAUSE TO BE PUT ALTERNATIVE FUEL INTO MOTOR VEHICLE ON WHICH NO ALTERNATIVE FUEL DECAL IS ATTACHED OR TAXES PAID,IN,12,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
46017,I,,SELR IMPROP REC SALE ALT FUEL,REGOWN,54,142869,SELLER OF ALTERNATIVE FUEL FAILS TO PROPERLY RECORD SALE OF ALTERNATIVE FUEL PUT IN VEHICLES DISPLAYING ALTERNATIVE FUEL DECAL,IN,12,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
37117,M,A,MV FUEL TAX EVASION,MISTAX,61,142905,MOTOR VEHICLE FUEL TAX EVASION,M,7,TAX REVENUE,TRUE,Taxation,61,
37111,F,D,MOTOR VEH FUEL TAX EVASION,FELTAX,61,142911,MOTOR VEHICLE FUEL TAX EVASION,F,4,TAX REVENUE,TRUE,Taxation,61,
37112,M,A,MV FUEL TRAN OFNS 2ND/SUB,MISTAX,61,142914,MOTOR VEHICLE FUEL TRANSPORTATION OFFENSE - 2ND OR SUBSEQUENT OFFENSE,M,7,TAX REVENUE,TRUE,Taxation,61,
37118,M,B,MV FUEL TRANSPORTATN OFF,MISTAX,61,142914,MOTOR VEHICLE FUEL TRANSPORTATION OFFENSE,M,8,TAX REVENUE,TRUE,Taxation,61,
37113,M,A,SELL/USE MTR FUEL NO TAX PD,MISTAX,61,142923,SELL/USE/DELIVER/STORE OR IMPORT FOR SALE/USE/DELIVERY/STORAGE OF MOTOR FUEL WHERE NO TAX PAID,M,7,TAX REVENUE,TRUE,Taxation,61,
46011,M,A,TRAN DYE FUEL W/O NONTAX STMT,REGOWN,54,142926,TRANSPORT DYED FUEL WITHOUT NONTAXABLE USE STATEMENT ON SHIPPING PAPER,M,7,MOTOR VEHICLE,TRUE,Motor Vehicle,54,
37114,M,A,VIO IMPORT OF FUEL LAWS,MISTAX,61,142929,VIOLATION OF IMPORTATION OF FUEL LAWS,M,7,TAX REVENUE,TRUE,Taxation,61,
37115,M,A,EVAS TX MOTOR FUEL W DYE,MISTAX,61,142932,EVASION OF TAX RELATED TO MOTOR FUEL WITH DYE,M,7,TAX REVENUE,TRUE,Taxation,61,
37116,M,A,REFUS INSP RCDS TO EVD TAX,MISTAX,61,142944,REFUSING INSPECTION OF MOTOR FUEL RECORDS IN ORDER TO EVADE TAX,M,7,TAX REVENUE,TRUE,Taxation,61,
54185,F,C,REL INFO-VETS TRUST FUND,FELPUB,73,1431001,"RELEASE/USE OF NAMES/ADDRESSES OF INDIVIDUALS CONTRIBUTING TO ""VETERANS TRUST FUND""",F,3,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
54114,F,C,REL CONTRB INFO MO NG TRUST FUND,MISPUB,73,1431003,"RELEASING NAMES AND ADDRESSES OF INDIVIDUALS CONTRIBUTING TO THE ""MISSOURI NATIONAL GUARD TRUST FUND""",F,3,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
37097,F,U,"EMPLYR, WITHHOLDING TAX VIOL",FELTAX,61,143221,"EMPLOYER, WITH INTENT TO DEFRAUD, WILLFULLY FAILED TO FILE RETURN/TRUTHFULLY ACCOUNT FOR/PAY WITHHOLDING TAX",F,6,TAX REVENUE,TRUE,Taxation,61,
37099,M,U,"EMPLYR, WITHHOLDING TAX VIOL",MISTAX,61,143221,"EMPLOYER, WITH INTENT TO DEFRAUD, WILLFULLY FAILED TO FILE RETURN/TRUTHFULLY ACCOUNT FOR/PAY WITHHOLDING TAX",M,11,TAX REVENUE,TRUE,Taxation,61,
37009,M,A,EMPLR-WITHHOLDING TAX,MISTAX,61,143221,"EMPLOYER, WITH INTENT TO DEFRAUD, WILLFULLY FAILED TO FILE RETURN/TRUTHFULLY ACCOUNT FOR/PAY WITHHOLDING TAX",,7,TAX REVENUE,TRUE,Taxation,61,
37008,F,D,EMPR-WITHHOLDING TAX,FELTAX,61,143221,"EMPLOYER, WITH INTENT TO DEFRAUD, WILLFULLY FAILED TO FILE RETURN/TRUTHFULLY ACCOUNT FOR/PAY WITHHOLDING TAX",,4,TAX REVENUE,TRUE,Taxation,61,
37080,F,U,ATTEMPT EVADE/DEFEAT TAX,FELTAX,61,143911,ATTEMPTING TO EVADE OR DEFEAT INCOME TAX,F,6,TAX REVENUE,TRUE,Taxation,61,
37085,M,U,ATTEMPT EVADE/DEFEAT TAX,MISTAX,61,143911,ATTEMPTING TO EVADE OR DEFEAT INCOME TAX,M,11,TAX REVENUE,TRUE,Taxation,61,
37090,F,U,FAIL COLLECT PAY TAX,FELTAX,61,143921,FAILURE TO COLLECT OR PAY OVER INCOME TAX,F,6,TAX REVENUE,TRUE,Taxation,61,
37095,M,U,FAILURE COLLECT PAY TAX,MISTAX,61,143921,FAILURE TO COLLECT OR PAY OVER INCOME TAX,M,11,TAX REVENUE,TRUE,Taxation,61,
37015,F,U,FAIL TO FILE/PAY MO INCOME TAX,FELTAX,61,143931,FAILURE TO FILE/PAY A MISSOURI INCOME TAX RETURN -,F,6,TAX REVENUE,TRUE,Taxation,61,
37020,M,U,FAIL FILE/PAY MO INCOME TX RTN,MISTAX,61,143931,FAILURE TO FILE/PAY A MISSOURI INCOME TAX RETURN -,M,11,TAX REVENUE,TRUE,Taxation,61,
37025,F,U,FILE FLSE MO INCOME RTRN,FELTAX,61,143941,FILING A FALSE MISSOURI INCOME TAX RETURN,F,6,TAX REVENUE,TRUE,Taxation,61,
37030,M,U,FILE FALSE MO INCOME TAX RETURN,MISTAX,61,143941,FILING A FALSE MISSOURI INCOME TAX RETURN,M,11,TAX REVENUE,TRUE,Taxation,61,
37130,M,U,VIOL COLL/RETN/PAY/ASUM OF TAXES,MISTAX,61,144080,"FAIL TO COLLECT SALES TAX, FILE RETURN AND PAY TAXES; MISREPRESENT ASSUMPTION OF TAXES",M,11,TAX REVENUE,TRUE,Taxation,61,
37120,M,A,SALES W/O RETAIL LICENSE,MISTAX,61,144083,MAKING SALES AT RETAIL WITHOUT RETAIL LICENSE,M,7,TAX REVENUE,TRUE,Taxation,61,
37013,F,U,NO SALES TAX RET/PAY SALES TAX,FELTAX,61,144480,"WITH INTENT TO DEFRAUD, WILLFULLY FAILED TO MAKE A SALES TAX RETURN/PAY SALES TAX/KEEP RECORDS/SUPPLY INFORMATION",F,6,TAX REVENUE,TRUE,Taxation,61,
37014,M,U,NO SALES TAX RETURN/PAY SALES TAX,MISTAX,61,144480,"WITH INTENT TO DEFRAUD, WILLFULLY FAILED TO MAKE A SALES TAX RETURN/PAY SALES TAX/KEEP RECORDS/SUPPLY INFORMATION",M,11,TAX REVENUE,TRUE,Taxation,61,
37010,M,U,FAIL MAKE SALES TAX RTRN,MISTAX,61,144480,"""WITH INTENT TO DEFRAUD, WILLFULLY FAILED TO MAKE A SALES TAX RETURN/PAY SALES TAX/KEEP RECORDS/SUPPLY INFORMATION""",,11,TAX REVENUE,TRUE,Taxation,61,
37005,F,U,FAIL FILE SALES TAX RTRN,FELTAX,61,144480,WILLFULLY FAILED TO MAKE A SALES TAX RETURN/PAY SALES TAX,,6,TAX REVENUE,TRUE,Taxation,61,
37060,F,U,FILE FLS SALES TAX RETRN,FELTAX,61,144490,FILING FALSE SALES TAX RETURN,F,6,TAX REVENUE,TRUE,Taxation,61,
37070,M,U,FILE FALSE SALES TAX RETURN,MISTAX,61,144490,FILING A FALSE SALES TAX RETURN,M,11,TAX REVENUE,TRUE,Taxation,61,
37012,M,U,VIOLATION SALES TAX LAW,MISTAX,61,144510,VIOLATION OF SALES TAX LAW,M,11,TAX REVENUE,TRUE,Taxation,61,
37150,F,U,FAIL TO PAY MISSOURI USE TAX,FELTAX,61,144610,FAIL TO PAY MISSOURI USE TAX,F,6,TAX REVENUE,TRUE,Taxation,61,
37155,M,U,FAIL TO PAY MISSOURI USE TAX,MISTAX,61,144610,FAIL TO PAY MISSOURI USE TAX,M,11,TAX REVENUE,TRUE,Taxation,61,
37100,M,U,TAX EVASION PERSON PROP,MISTAX,61,146130,TAX EVASION ON INTANGIBLE PERSONAL PROPERTY,M,11,TAX REVENUE,TRUE,Taxation,61,
37110,F,U,FALS STMT FRAN TAX REPORT,FELTAX,61,147120,MAKING FALSE STATEMENT ON FRANCHISE TAX REPORT,F,6,TAX REVENUE,TRUE,Taxation,61,
54780,M,A,SELL TOBACCO W/O WHOLESALER LIC,MISPUB,73,149035,SALE OF TOBACCO PRODUCTS WITHOUT WHOLESALER LICENSE,M,7,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
54790,M,A,POSS CIG TO SELL W/O REQ STAMP,MISPUB,73,149051,"POSSESS FOR THE PURPOSE OF SALE, ANY CIGARETTES TO WHICH THE REQUIRED STAMPS/METER UNITS NOT AFFIXED",M,7,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
37007,F,U,VIOL-EVIDENCE-PAY CIGARETTE TAX,FELTAX,61,149071,VIOLATE PROVISION OF SECTION 149.071 REGARDING EVIDENCE OF PAYMENT OF CIGARETTE TAXES,F,6,TAX REVENUE,TRUE,Taxation,61,
37011,F,U,FLS INFO-DOR-SALE/PUR-CIGARETTES,FELTAX,61,149076,FILE FALSE REPORT/APPLICATION OR MAKE A FALSE STATEMENT TO DEPARTMENT OF REVENUE REGARDING PURCHASE OR SALE OF CIGARETTES,F,6,TAX REVENUE,TRUE,Taxation,61,
54820,F,D,ALTER CIGARETTE PACKAGE,FELPUB,73,149200,KNOWINGLY OR RECKLESSLY ALTER CIGARETTE PACKAGE AND/OR SELL/DISTRIBUTE/POSSESS CIGARETTES NOT IN COMPLIANCE WITH FEDERAL REGULATIONS,F,4,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
19175,M,U,DEAL-MERCHANT W/O LICENS,MISFRD,26,150100,DEALING AS A MERCHANT WITHOUT A LICENSE,M,11,FRAUD,TRUE,Fraud,26,
19174,M,A,ILL SALES BY INTINERANT VENDR/PEDLR,MISFRD,26,150465,ILLEGAL SALES BY INTINERANT VENDOR OR PEDDLER,M,7,FRAUD,TRUE,Fraud,26,
19711,M,A,FALS RPRT/WITHHOLD SCHL VIOLENCE,MISFRD,26,160261,FALSIFY REPORT OR WITHHOLD INFORMATION RELATING TO INVESTIGATION/REPORT OF SCHOOL VIOLENCE,M,7,FRAUD,TRUE,Fraud,26,
54112,M,A,VIOL CONF MO COMMISSION DEAF,MISPUB,73,161409,VIOLATION REGARDING CONFIDENTIALITY OF REPORTS/RECORDS OF MISSOURI COMMISSION FOR THE DEAF AND HARD OF HEARING,M,7,PUBLIC ORDER CRIMES,TRUE,Assorted Other,73,
26147,M,A,FALSE INFO-RES-SCHOOL REG,MISFAM,38,167020,KNOWINGLY SUBMITTING FALSE INFORMATION REGARDING RESIDENCY FOR SCHOOL REGISTRATION,M,7,FAMILY OFFENSES,TRUE,Family Crime,38,
26148,M,B,SCOOL RECS TO WRONG PERSN,MISFAM,38,167020,MAKE IDENTIFIABLE SCHOOL RECORDS AVAILABLE TO RESTRICTD PERSNS,,8,FAMILY OFFENSES,TRUE,Family Crime,38,
